Time (s),Thrust (kN)
9.14,16.165567417875124
9.16,16.175570041899128
9.18,16.16878451364215
9.200000000000001,16.159425358860254
9.22,16.169595417738744
9.24,16.17473927635425
9.26,16.169601487603828
9.28,16.169012557307227
9.3,16.16803930294742
9.32,16.15795423062644
9.34,16.167615857379253
9.36,16.174257409257148
9.38,16.169403245210162
9.4,16.16916856622823
9.42,16.165103060901902
9.44,16.16863940564077
9.46,16.164520254380523
9.48,16.17029849502299
9.5,16.171713479129803
9.52,16.161863262455785
9.540000000000001,16.15783556670012
9.56,16.156018372658483
9.58,16.166506089269888
9.6,16.155750112273576
9.620000000000001,16.16615631670703
9.64,16.166768695680847
9.66,16.161691950369566
9.68,16.169222076972225
9.700000000000001,16.162595352547967
9.72,16.162267658958104
9.74,16.168130463856457
9.76,16.167929533804102
9.78,16.1579728755231
9.8,16.16683701594532
9.82,16.166804789087454
9.84,16.166787644516397
9.86,16.167257947800056
9.88,16.164879394304283
9.9,16.161829366982317
9.92,16.167306412910797
9.94,16.15978334063414
9.96,16.16240650150644
9.98,16.159109919154847
10.0,16.172062291305693
10.02,16.171693806541775
10.040000000000001,16.155178549311863
10.06,16.15230133229316
10.08,16.15505308637129
10.1,16.15913779425326
10.120000000000001,16.160290583201693
10.14,16.14822627265136
10.16,16.154616605811707
10.18,16.154354281317836
10.200000000000001,16.16311804025039
10.22,16.162949883462648
10.24,16.159656214308786
10.26,16.154212771729327
10.28,16.150574773899038
10.3,16.15379625831577
10.32,16.154486050056647
10.34,16.151145366433067
10.36,16.153960977608715
10.38,16.154857193549738
10.4,16.155067740394056
10.42,16.154283958913876
10.44,16.149940738587524
10.46,16.154413431398957
10.48,16.154745908077892
10.5,16.150013334308223
10.52,16.15404313827033
10.540000000000001,16.147280449685297
10.56,16.15315436084305
10.58,16.15265428518026
10.6,16.150979667303783
10.620000000000001,16.149645330063333
10.64,16.14946065775892
10.66,16.160660074064626
10.68,16.15240372336572
10.700000000000001,16.146465241258948
10.72,16.159875298397886
10.74,16.146211443027305
10.76,16.14438220295508
10.78,16.151768966985095
10.8,16.14496935801322
10.82,16.151207316131654
10.84,16.156632695068925
10.86,16.14785024522218
10.88,16.15057382937844
10.9,16.150362005196197
10.92,16.155818189178902
10.94,16.15299365343512
10.96,16.14747110403204
10.98,16.149391301562805
11.0,16.15422596821813
11.02,16.1564998925901
11.040000000000001,16.156272484097553
11.06,16.154602308224995
11.08,16.148001136180547
11.1,16.14732197435492
11.120000000000001,16.147746316107632
11.14,16.147011244895555
11.16,16.14680001546554
11.18,16.14654702915778
11.200000000000001,16.147348039865346
11.22,16.141508268236652
11.24,16.144104415929817
11.26,16.140896526821873
11.28,16.14214839238634
11.3,16.14573885749688
11.32,16.14295824967855
11.34,16.14616217826289
11.36,16.14771504813791
11.38,16.13907909858005
11.4,16.139381836278226
11.42,16.144031500399887
11.44,16.13936891218554
11.46,16.139297618958054
11.48,16.136942494286306
11.5,16.14477262779952
11.52,16.144522553897396
11.540000000000001,16.138438190867745
11.56,16.14449935525548
11.58,16.14359769896887
11.6,16.138627804194996
11.620000000000001,16.14289836873926
11.64,16.15085415395113
11.66,16.143886857640926
11.68,16.14312217819111
11.700000000000001,16.143567749243115
11.72,16.14229437246875
11.74,16.14229874460298
11.76,16.14282446416204
11.78,16.142925243118903
11.8,16.142205891472116
11.82,16.134577940469576
11.84,16.134230801473823
11.86,16.134733534000283
11.88,16.1410911255337
11.9,16.13389572905984
11.92,16.148453231229894
11.94,16.13484585069709
11.96,16.156351373036763
11.98,16.137277429132084
12.0,16.134941263835024
12.02,16.140884359499463
12.040000000000001,16.141184873217377
12.06,16.139377406551986
12.08,16.14782692917464
12.1,16.136343090002413
12.120000000000001,16.132155976114017
12.14,16.13179173498552
12.16,16.139897537770533
12.18,16.13272569875689
12.200000000000001,16.13264347726857
12.22,16.139792936181394
12.24,16.139860178725726
12.26,16.131506040898525
12.280000000000001,16.132157866671967
12.3,16.131210888885853
12.32,16.146158713116684
12.34,16.141702641870275
12.36,16.13302781364978
12.38,16.137847500090427
12.4,16.13055281749955
12.42,16.154955247042995
12.44,16.154858086978386
12.46,16.154746190870224
12.48,16.154662324250264
12.5,16.136033570245136
12.52,16.13173691761562
12.540000000000001,16.138652510066844
12.56,16.132605274090345
